fecha,departamento,municipio,delito,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_de_nacimiento,clase_de_empleado,profesion,escolaridad,codigo_dane
2015-08-24,valle,cali (ct),articulo 218. pornografia con menores,lunes,12:13:00,prados del sur e18,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,14,femenino,soltero,colombia,estudiante,,secundaria,76001000
2015-08-25,valle,cali (ct),articulo 208. acceso carnal abusivo con menor de 14 anos,martes,19:30:00,antonio narino e16,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,7,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2015-08-25,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,martes,14:00:00,angel del hogar e7,urbana,vias publicas,sin empleo de armas,a pie,a pie,11,femenino,soltero,colombia,empleado particular,,secundaria,76001000
2015-08-25,valle,cali (ct),articulo 210 a. acoso sexual,martes,13:00:00,urb. tequendama e19,urbana,cafe internet,sin empleo de armas,a pie,a pie,11,femenino,soltero,colombia,estudiante,,primaria,76001000
2015-08-26,valle,cali (ct),articulo 205. acceso carnal violento,miercoles,20:00:00,siloe e20,urbana,vias publicas,arma blanca / cortopunzante,a pie,a pie,34,femenino,soltero,,empleado particular,,secundaria,76001000
2015-08-26,valle,cali (ct),articulo 206. acto sexual violento,miercoles,16:00:00,caney e17,urbana,vias publicas,contundentes,a pie,a pie,37,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2015-08-26,valle,cali (ct),articulo 208. acceso carnal abusivo con menor de 14 anos,miercoles,17:00:00,prados del norte e2,urbana,vias publicas,sin empleo de armas,a pie,a pie,0,femenino,soltero,colombia,empleado particular,,primaria,76001000
2015-08-26,valle,cali (ct),articulo 208. acceso carnal abusivo con menor de 14 anos,miercoles,18:25:00,lleras restrepo e13,urbana,vias publicas,sin empleo de armas,a pie,a pie,9,masculino,soltero,colombia,estudiante,,primaria,76001000
2015-08-26,valle,cali (ct),articulo 208. acceso carnal abusivo con menor de 14 anos,miercoles,09:14:00,compartir e21,urbana,vias publicas,sin empleo de armas,a pie,a pie,13,femenino,soltero,colombia,estudiante,,primaria,76001000
2015-08-26,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,miercoles,13:00:00,los lagos e13,urbana,vias publicas,contundentes,a pie,a pie,13,femenino,soltero,colombia,estudiante,,primaria,76001000
